image_path,filename,lat,lon,geometry,in_grid
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.8558.png,28.2056_76.8558.png,28.2056,76.8558,POINT (93110.1832241413 3126940.842381583),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.8646.png,28.2056_76.8646.png,28.2056,76.8646,POINT (93975.02981162816 3126911.2561693112),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.8734.png,28.2056_76.8734.png,28.2056,76.8734,POINT (94839.87106457737 3126881.7332521495),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.8822.png,28.2056_76.8822.png,28.2056,76.8822,POINT (95704.70699433371 3126852.2736275145),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.8910.png,28.2056_76.8910.png,28.2056,76.891,POINT (96569.53761225089 3126822.87729283),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.8943.png,28.2056_76.8943.png,28.2056,76.8943,POINT (96893.84772682632 3126811.8699837383),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9057.png,28.2056_76.9057.png,28.2056,76.9057,POINT (98014.18603224104 3126773.9132091347),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9145.png,28.2056_76.9145.png,28.2056,76.9145,POINT (98879.00252074708 3126744.6858747983),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9233.png,28.2056_76.9233.png,28.2056,76.9233,POINT (99743.81373906473 3126715.521821001),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9321.png,28.2056_76.9321.png,28.2056,76.9321,POINT (100608.61969854863 3126686.4210451925),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9409.png,28.2056_76.9409.png,28.2056,76.9409,POINT (101473.42041054321 3126657.383544827),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9443.png,28.2056_76.9443.png,28.2056,76.9443,POINT (101807.5465553932 3126646.181456499),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9558.png,28.2056_76.9558.png,28.2056,76.9558,POINT (102937.67331990262 3126608.362039518),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9646.png,28.2056_76.9646.png,28.2056,76.9646,POINT (103802.45995590102 3126579.49493881),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9734.png,28.2056_76.9734.png,28.2056,76.9734,POINT (104667.24138632434 3126550.691104193),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9822.png,28.2056_76.9822.png,28.2056,76.9822,POINT (105532.01762252307 3126521.950533148),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9910.png,28.2056_76.9910.png,28.2056,76.991,POINT (106396.78867584624 3126493.273223161),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_76.9944.png,28.2056_76.9944.png,28.2056,76.9944,POINT (106730.90337896871 3126482.2102954504),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.0058.png,28.2056_77.0058.png,28.2056,77.0058,POINT (107851.16469960415 3126445.185859022),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.0146.png,28.2056_77.0146.png,28.2056,77.0146,POINT (108715.92190942948 3126416.6781913238),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.0234.png,28.2056_77.0234.png,28.2056,77.0234,POINT (109580.67397816363 3126388.233775476),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.0322.png,28.2056_77.0322.png,28.2056,77.0322,POINT (110445.42091715703 3126359.852608992),True
C:\Users\ASUS\Desktop\IIT_GN\Earth_Observation\Data\rgb\28.2056_77.0410.png,28.2056_77.0410.png,28.2056,77.041,POINT (111310.16273775883 3126331.53468939),True
